abcd,nda,instrument
beh_mid_large_loss_neg_feedback_bothruns_mean_rt,behmidllossnegfbbrunsmnrt,abcd_mid01
beh_mid_large_loss_neg_feedback_bothruns_std_rt,behmidllossnegfbbrunsstdrt,abcd_mid01
beh_mid_large_loss_neg_feedback_run_1_mean_rt,behmidllossnegfbrun1mnrt,abcd_mid01
beh_mid_large_loss_neg_feedback_run_1_std_rt,behmidllossnegfbrun1stdrt,abcd_mid01
beh_mid_large_loss_neg_feedback_run_2_mean_rt,behmidllossnegfbrun2mnrt,abcd_mid01
beh_mid_large_loss_neg_feedback_run_2_std_rt,behmidllossnegfbrun2stdrt,abcd_mid01
beh_mid_large_loss_total_bothruns_mean_rt,behmidllosstlbrunsmnrt,abcd_mid01
beh_mid_large_loss_total_bothruns_std_rt,behmidllosstlbrunsstdrt,abcd_mid01
beh_mid_large_loss_total_run_1_mean_rt,behmidllosstlrun1mnrt,abcd_mid01
beh_mid_large_loss_total_run_1_std_rt,behmidllosstlrun1stdrt,abcd_mid01
beh_mid_large_loss_total_run_2_mean_rt,behmidllosstlrun2mnrt,abcd_mid01
beh_mid_large_loss_total_run_2_std_rt,behmidllosstlrun2stdrt,abcd_mid01
beh_mid_large_reward_neg_feedback_bothruns_mean_rt,behmidlrwnegfbbrunsmnrt,abcd_mid01
beh_mid_large_reward_neg_feedback_bothruns_std_rt,behmidlrwnegfbbrunsstdrt,abcd_mid01
beh_mid_large_reward_neg_feedback_run_1_mean_rt,behmidlrwnegfbrun1mnrt,abcd_mid01
beh_mid_large_reward_neg_feedback_run_1_std_rt,behmidlrwnegfbrun1stdrt,abcd_mid01
beh_mid_large_reward_neg_feedback_run_2_mean_rt,behmidlrwnegfbrun2mnrt,abcd_mid01
beh_mid_large_reward_neg_feedback_run_2_std_rt,behmidlrwnegfbrun2stdrt,abcd_mid01
beh_mid_large_reward_total_bothruns_mean_rt,behmidlrwtlbrunsmnrt,abcd_mid01
beh_mid_large_reward_total_bothruns_std_rt,behmidlrwtlbrunsstdrt,abcd_mid01
beh_mid_large_reward_total_run_1_mean_rt,behmidlrwtlrun1mnrt,abcd_mid01
beh_mid_large_reward_total_run_1_std_rt,behmidlrwtlrun1stdrt,abcd_mid01
beh_mid_large_reward_total_run_2_mean_rt,behmidlrwtlrun2mnrt,abcd_mid01
beh_mid_large_reward_total_run_2_std_rt,behmidlrwtlrun2stdrt,abcd_mid01
beh_mid_neutral_neg_feedback_bothruns_mean_rt,behmidntnegfbbrunsmnrt,abcd_mid01
beh_mid_neutral_neg_feedback_bothruns_std_rt,behmidntnegfbbrunsstdrt,abcd_mid01
beh_mid_neutral_neg_feedback_run_1_mean_rt,behmidntnegfbrun1mnrt,abcd_mid01
beh_mid_neutral_neg_feedback_run_1_rate,behmidntnegfbrun1rate,abcd_mid01
beh_mid_neutral_neg_feedback_run_2_mean_rt,behmidntnegfbrun2mnrt,abcd_mid01
beh_mid_neutral_neg_feedback_run_2_std_rt,behmidntnegfbrun2stdrt,abcd_mid01
beh_mid_neutral_total_bothruns_mean_rt,behmidnttlbrunsmnrt,abcd_mid01
beh_mid_neutral_total_bothruns_std_rt,behmidnttlbrunsstdrt,abcd_mid01
beh_mid_neutral_total_run_1_mean_rt,behmidnttlrun1mnrt,abcd_mid01
beh_mid_neutral_total_run_1_std_rt,behmidnttlrun1stdrt,abcd_mid01
beh_mid_neutral_total_run_2_mean_rt,behmidnttlrun2mnrt,abcd_mid01
beh_mid_neutral_total_run_2_std_rt,behmidnttlrun2stdrt,abcd_mid01
beh_mid_small_loss_neg_feedback_bothruns_mean_rt,behmidslossnegfbbrunsmnrt,abcd_mid01
beh_mid_small_loss_neg_feedback_bothruns_std_rt,behmidslossnegfbbrunsstdrt,abcd_mid01
beh_mid_small_loss_neg_feedback_run_1_mean_rt,behmidslossnegfbrun1mnrt,abcd_mid01
beh_mid_small_loss_neg_feedback_run_1_std_rt,behmidslossnegfbrun1stdrt,abcd_mid01
beh_mid_small_loss_neg_feedback_run_2_mean_rt,behmidslossnegfbrun2mnrt,abcd_mid01
beh_mid_small_loss_neg_feedback_run_2_std_rt,behmidslossnegfbrun2stdrt,abcd_mid01
beh_mid_small_loss_total_bothruns_mean_rt,behmidslosstlbrunsmnrt,abcd_mid01
beh_mid_small_loss_total_bothruns_std_rt,behmidslosstlbrunsstdrt,abcd_mid01
beh_mid_small_loss_total_run_1_mean_rt,behmidslosstlrun1mnrt,abcd_mid01
beh_mid_small_loss_total_run_1_std_rt,behmidslosstlrun1stdrt,abcd_mid01
beh_mid_small_loss_total_run_2_mean_rt,behmidslosstlrun2mnrt,abcd_mid01
beh_mid_small_loss_total_run_2_std_rt,behmidslosstlrun2stdrt,abcd_mid01
beh_mid_small_reward_neg_feedback_bothruns_mean_rt,behmidsrwnegfbbrunsmnrt,abcd_mid01
beh_mid_small_reward_neg_feedback_bothruns_std_rt,behmidsrwnegfbbrunsstdrt,abcd_mid01
beh_mid_small_reward_neg_feedback_run_1_mean_rt,behmidsrwnegfbrun1mnrt,abcd_mid01
beh_mid_small_reward_neg_feedback_run_1_std_rt,behmidsrwnegfbrun1stdrt,abcd_mid01
beh_mid_small_reward_neg_feedback_run_2_mean_rt,behmidsrwnegfbrun2mnrt,abcd_mid01
beh_mid_small_reward_neg_feedback_run_2_std_rt,behmidsrwnegfbrun2stdrt,abcd_mid01
beh_mid_small_reward_total_bothruns_mean_rt,behmidsrwtlbrunsmnrt,abcd_mid01
beh_mid_small_reward_total_bothruns_std_rt,behmidsrwtlbrunsstdrt,abcd_mid01
beh_mid_small_reward_total_run_1_mean_rt,behmidsrwtlrun1mnrt,abcd_mid01
beh_mid_small_reward_total_run_1_numtrials,behmidsrwtlrun1numtrials,abcd_mid01
beh_mid_small_reward_total_run_1_std_rt,behmidsrwtlrun1stdrt,abcd_mid01
beh_mid_small_reward_total_run_2_mean_rt,behmidsrwtlrun2mnrt,abcd_mid01
beh_mid_small_reward_total_run_2_numtrials,behmidsrwtlrun2numtrials,abcd_mid01
beh_mid_small_reward_total_run_2_std_rt,behmidsrwtlrun2stdrt,abcd_mid01
beh_mid_large_loss_neg_feedback_bothruns_numtrials,bml_loss_neg_fdbk_ct,abcd_mid01
beh_mid_large_loss_neg_feedback_bothruns_rate,bml_loss_neg_fdbk_rate,abcd_mid01
beh_mid_large_loss_neg_feedback_run_1_numtrials,bml_loss_neg_fdbk_run_1_ct,abcd_mid01
beh_mid_large_loss_neg_feedback_run_1_rate,bml_loss_neg_fdbk_run_1_rate,abcd_mid01
beh_mid_large_loss_neg_feedback_run_2_numtrials,bml_loss_neg_fdbk_run_2_ct,abcd_mid01
beh_mid_large_loss_neg_feedback_run_2_rate,bml_loss_neg_fdbk_run_2_rate,abcd_mid01
beh_mid_large_loss_pos_feedback_bothruns_numtrials,bml_loss_pos_fdbk_ct,abcd_mid01
beh_mid_large_loss_pos_feedback_bothruns_rate,bml_loss_pos_fdbk_rate,abcd_mid01
beh_mid_large_loss_pos_feedback_bothruns_mean_rt,bml_loss_pos_fdbk_rt,abcd_mid01
beh_mid_large_loss_pos_feedback_bothruns_std_rt,bml_loss_pos_fdbk_rt_std,abcd_mid01
beh_mid_large_loss_pos_feedback_run_1_numtrials,bml_loss_pos_fdbk_run_1_ct,abcd_mid01
beh_mid_large_loss_pos_feedback_run_1_rate,bml_loss_pos_fdbk_run_1_rate,abcd_mid01
beh_mid_large_loss_pos_feedback_run_1_mean_rt,bml_loss_pos_fdbk_run_1_rt,abcd_mid01
beh_mid_large_loss_pos_feedback_run_1_std_rt,bml_loss_pos_fdbk_run_1_rt_std,abcd_mid01
beh_mid_large_loss_pos_feedback_run_2_numtrials,bml_loss_pos_fdbk_run_2_ct,abcd_mid01
beh_mid_large_loss_pos_feedback_run_2_rate,bml_loss_pos_fdbk_run_2_rate,abcd_mid01
beh_mid_large_loss_pos_feedback_run_2_mean_rt,bml_loss_pos_fdbk_run_2_rt,abcd_mid01
beh_mid_large_loss_pos_feedback_run_2_std_rt,bml_loss_pos_fdbk_run_2_rt_std,abcd_mid01
beh_mid_large_loss_total_run_1_numtrials,bml_loss_run_1_total,abcd_mid01
beh_mid_large_loss_total_run_2_numtrials,bml_loss_run_2_total,abcd_mid01
beh_mid_large_reward_neg_feedback_bothruns_numtrials,bml_rwd_neg_fdbk_ct,abcd_mid01
beh_mid_large_reward_neg_feedback_bothruns_rate,bml_rwd_neg_fdbk_rate,abcd_mid01
beh_mid_large_reward_neg_feedback_run_1_numtrials,bml_rwd_neg_fdbk_run_1_ct,abcd_mid01
beh_mid_large_reward_neg_feedback_run_1_rate,bml_rwd_neg_fdbk_run_1_rate,abcd_mid01
beh_mid_large_reward_neg_feedback_run_2_numtrials,bml_rwd_neg_fdbk_run_2_ct,abcd_mid01
beh_mid_large_reward_neg_feedback_run_2_rate,bml_rwd_neg_fdbk_run_2_rate,abcd_mid01
beh_mid_large_reward_pos_feedback_bothruns_rate,bml_rwd_pos_fdbk_rate,abcd_mid01
beh_mid_large_reward_pos_feedback_bothruns_mean_rt,bml_rwd_pos_fdbk_rt,abcd_mid01
beh_mid_large_reward_pos_feedback_bothruns_std_rt,bml_rwd_pos_fdbk_rt_std,abcd_mid01
beh_mid_large_reward_pos_feedback_run_1_numtrials,bml_rwd_pos_fdbk_run_1_ct,abcd_mid01
beh_mid_large_reward_pos_feedback_run_1_rate,bml_rwd_pos_fdbk_run_1_rate,abcd_mid01
beh_mid_large_reward_pos_feedback_run_1_mean_rt,bml_rwd_pos_fdbk_run_1_rt,abcd_mid01
beh_mid_large_reward_pos_feedback_run_1_std_rt,bml_rwd_pos_fdbk_run_1_rt_std,abcd_mid01
beh_mid_large_reward_pos_feedback_run_2_numtrials,bml_rwd_pos_fdbk_run_2_ct,abcd_mid01
beh_mid_large_reward_pos_feedback_run_2_rate,bml_rwd_pos_fdbk_run_2_rate,abcd_mid01
beh_mid_large_reward_pos_feedback_run_2_mean_rt,bml_rwd_pos_fdbk_run_2_rt,abcd_mid01
beh_mid_large_reward_pos_feedback_run_2_std_rt,bml_rwd_pos_fdbk_run_2_rt_std,abcd_mid01
beh_mid_hiloloss_neg_feedback_bothruns_numtrials,bmls_neg_fdbk_ct,abcd_mid01
beh_mid_hiloloss_neg_feedback_bothruns_rate,bmls_neg_fdbk_rate,abcd_mid01
beh_mid_hiloloss_neg_feedback_run_1_numtrials,bmls_neg_fdbk_run_1_ct,abcd_mid01
beh_mid_hiloloss_neg_feedback_run_1_rate,bmls_neg_fdbk_run_1_rate,abcd_mid01
beh_mid_hiloloss_neg_feedback_run_2_numtrials,bmls_neg_fdbk_run_2_ct,abcd_mid01
beh_mid_hiloloss_neg_feedback_run_2_rate,bmls_neg_fdbk_run_2_rate,abcd_mid01
beh_mid_hiloloss_pos_feedback_bothruns_rate,bmls_pos_fdbk_rate,abcd_mid01
beh_mid_hiloloss_pos_feedback_bothruns_mean_rt,bmls_pos_fdbk_rt,abcd_mid01
beh_mid_hiloloss_pos_feedback_bothruns_std_rt,bmls_pos_fdbk_rt_std,abcd_mid01
beh_mid_hiloloss_pos_feedback_run_1_numtrials,bmls_pos_fdbk_run_1_ct,abcd_mid01
beh_mid_hiloloss_pos_feedback_run_1_rate,bmls_pos_fdbk_run_1_rate,abcd_mid01
beh_mid_hiloloss_pos_feedback_run_1_mean_rt,bmls_pos_fdbk_run_1_rt,abcd_mid01
beh_mid_hiloloss_pos_feedback_run_1_std_rt,bmls_pos_fdbk_run_1_rt_std,abcd_mid01
beh_mid_hiloloss_pos_feedback_run_2_numtrials,bmls_pos_fdbk_run_2_ct,abcd_mid01
beh_mid_hiloloss_pos_feedback_run_2_rate,bmls_pos_fdbk_run_2_rate,abcd_mid01
beh_mid_hiloloss_pos_feedback_run_2_mean_rt,bmls_pos_fdbk_run_2_rt,abcd_mid01
beh_mid_hiloloss_pos_feedback_run_2_std_rt,bmls_pos_fdbk_run_2_rt_std,abcd_mid01
beh_mid_neutral_neg_feedback_bothruns_numtrials,bmn_neg_fdbk_ct,abcd_mid01
beh_mid_neutral_neg_feedback_bothruns_rate,bmn_neg_fdbk_rate,abcd_mid01
beh_mid_neutral_neg_feedback_run_1_numtrials,bmn_neg_fdbk_run_1_ct,abcd_mid01
beh_mid_neutral_neg_feedback_run_1_std_rt,bmn_neg_fdbk_run_1_rate,abcd_mid01
beh_mid_neutral_neg_feedback_run_2_numtrials,bmn_neg_fdbk_run_2_ct,abcd_mid01
beh_mid_neutral_neg_feedback_run_2_rate,bmn_neg_fdbk_run_2_rate,abcd_mid01
beh_mid_neutral_pos_feedback_bothruns_std_rt,bmn_pos_fdbk_rt_std,abcd_mid01
beh_mid_neutral_pos_feedback_run_1_numtrials,bmn_pos_fdbk_run_1_ct,abcd_mid01
beh_mid_neutral_pos_feedback_run_1_rate,bmn_pos_fdbk_run_1_rate,abcd_mid01
beh_mid_neutral_pos_feedback_run_1_mean_rt,bmn_pos_fdbk_run_1_rt,abcd_mid01
beh_mid_neutral_pos_feedback_run_1_std_rt,bmn_pos_fdbk_run_1_rt_std,abcd_mid01
beh_mid_neutral_pos_feedback_run_2_numtrials,bmn_pos_fdbk_run_2_ct,abcd_mid01
beh_mid_neutral_pos_feedback_run_2_rate,bmn_pos_fdbk_run_2_rate,abcd_mid01
beh_mid_neutral_pos_feedback_run_2_mean_rt,bmn_pos_fdbk_run_2_rt,abcd_mid01
beh_mid_neutral_pos_feedback_run_2_std_rt,bmn_pos_fdbk_run_2_rt_std,abcd_mid01
beh_mid_hiloreward_neg_feedback_bothruns_numtrials,bmr_neg_fdbk_ct,abcd_mid01
beh_mid_hiloreward_neg_feedback_bothruns_rate,bmr_neg_fdbk_rate,abcd_mid01
beh_mid_hiloreward_neg_feedback_run_1_numtrials,bmr_neg_fdbk_run_1_ct,abcd_mid01
beh_mid_hiloreward_neg_feedback_run_1_rate,bmr_neg_fdbk_run_1_rate,abcd_mid01
beh_mid_hiloreward_neg_feedback_run_2_numtrials,bmr_neg_fdbk_run_2_ct,abcd_mid01
beh_mid_hiloreward_neg_feedback_run_2_rate,bmr_neg_fdbk_run_2_rate,abcd_mid01
beh_mid_hiloreward_pos_feedback_bothruns_rate,bmr_pos_fdbk_rate,abcd_mid01
beh_mid_hiloreward_pos_feedback_bothruns_mean_rt,bmr_pos_fdbk_rt,abcd_mid01
beh_mid_hiloreward_pos_feedback_bothruns_std_rt,bmr_pos_fdbk_rt_std,abcd_mid01
beh_mid_hiloreward_pos_feedback_run_1_numtrials,bmr_pos_fdbk_run_1_ct,abcd_mid01
beh_mid_hiloreward_pos_feedback_run_1_rate,bmr_pos_fdbk_run_1_rate,abcd_mid01
beh_mid_hiloreward_pos_feedback_run_1_mean_rt,bmr_pos_fdbk_run_1_rt,abcd_mid01
beh_mid_hiloreward_pos_feedback_run_1_std_rt,bmr_pos_fdbk_run_1_rt_std,abcd_mid01
beh_mid_hiloreward_pos_feedback_run_2_numtrials,bmr_pos_fdbk_run_2_ct,abcd_mid01
beh_mid_hiloreward_pos_feedback_run_2_rate,bmr_pos_fdbk_run_2_rate,abcd_mid01
beh_mid_hiloreward_pos_feedback_run_2_mean_rt,bmr_pos_fdbk_run_2_rt,abcd_mid01
beh_mid_hiloreward_pos_feedback_run_2_std_rt,bmr_pos_fdbk_run_2_rt_std,abcd_mid01
beh_mid_small_loss_neg_feedback_bothruns_numtrials,bms_loss_neg_fdbk_ct,abcd_mid01
beh_mid_small_loss_neg_feedback_bothruns_rate,bms_loss_neg_fdbk_rate,abcd_mid01
beh_mid_small_loss_neg_feedback_run_1_numtrials,bms_loss_neg_fdbk_run_1_ct,abcd_mid01
beh_mid_small_loss_neg_feedback_run_1_rate,bms_loss_neg_fdbk_run_1_rate,abcd_mid01
beh_mid_small_loss_neg_feedback_run_2_numtrials,bms_loss_neg_fdbk_run_2_ct,abcd_mid01
beh_mid_small_loss_neg_feedback_run_2_rate,bms_loss_neg_fdbk_run_2_rate,abcd_mid01
beh_mid_small_loss_pos_feedback_bothruns_numtrials,bms_loss_pos_fdbk_ct,abcd_mid01
beh_mid_small_loss_pos_feedback_bothruns_rate,bms_loss_pos_fdbk_rate,abcd_mid01
beh_mid_small_loss_pos_feedback_bothruns_mean_rt,bms_loss_pos_fdbk_rt,abcd_mid01
beh_mid_small_loss_pos_feedback_bothruns_std_rt,bms_loss_pos_fdbk_rt_std,abcd_mid01
beh_mid_small_loss_pos_feedback_run_1_numtrials,bms_loss_pos_fdbk_run_1_ct,abcd_mid01
beh_mid_small_loss_pos_feedback_run_1_rate,bms_loss_pos_fdbk_run_1_rate,abcd_mid01
beh_mid_small_loss_pos_feedback_run_1_mean_rt,bms_loss_pos_fdbk_run_1_rt,abcd_mid01
beh_mid_small_loss_pos_feedback_run_1_std_rt,bms_loss_pos_fdbk_run_1_rt_std,abcd_mid01
beh_mid_small_loss_pos_feedback_run_2_numtrials,bms_loss_pos_fdbk_run_2_ct,abcd_mid01
beh_mid_small_loss_pos_feedback_run_2_rate,bms_loss_pos_fdbk_run_2_rate,abcd_mid01
beh_mid_small_loss_pos_feedback_run_2_mean_rt,bms_loss_pos_fdbk_run_2_rt,abcd_mid01
beh_mid_small_loss_pos_feedback_run_2_std_rt,bms_loss_pos_fdbk_run_2_rt_std,abcd_mid01
beh_mid_small_loss_total_run_1_numtrials,bms_loss_run_1_total,abcd_mid01
beh_mid_small_loss_total_run_2_numtrials,bms_loss_run_2_total,abcd_mid01
beh_mid_small_reward_neg_feedback_bothruns_numtrials,bms_rwd_neg_fdbk_ct,abcd_mid01
beh_mid_small_reward_neg_feedback_bothruns_rate,bms_rwd_neg_fdbk_rate,abcd_mid01
beh_mid_small_reward_neg_feedback_run_1_numtrials,bms_rwd_neg_fdbk_run_1_ct,abcd_mid01
beh_mid_small_reward_neg_feedback_run_1_rate,bms_rwd_neg_fdbk_run_1_rate,abcd_mid01
beh_mid_small_reward_neg_feedback_run_2_numtrials,bms_rwd_neg_fdbk_run_2_ct,abcd_mid01
beh_mid_small_reward_neg_feedback_run_2_rate,bms_rwd_neg_fdbk_run_2_rate,abcd_mid01
beh_mid_small_reward_pos_feedback_bothruns_numtrials,bms_rwd_pos_fdbk_ct,abcd_mid01
beh_mid_small_reward_pos_feedback_bothruns_rate,bms_rwd_pos_fdbk_rate,abcd_mid01
beh_mid_small_reward_pos_feedback_bothruns_mean_rt,bms_rwd_pos_fdbk_rt,abcd_mid01
beh_mid_small_reward_pos_feedback_bothruns_std_rt,bms_rwd_pos_fdbk_rt_std,abcd_mid01
beh_mid_small_reward_pos_feedback_run_1_numtrials,bms_rwd_pos_fdbk_run_1_ct,abcd_mid01
beh_mid_small_reward_pos_feedback_run_1_rate,bms_rwd_pos_fdbk_run_1_rate,abcd_mid01
beh_mid_small_reward_pos_feedback_run_1_mean_rt,bms_rwd_pos_fdbk_run_1_rt,abcd_mid01
beh_mid_small_reward_pos_feedback_run_1_std_rt,bms_rwd_pos_fdbk_run_1_rt_std,abcd_mid01
beh_mid_small_reward_pos_feedback_run_2_numtrials,bms_rwd_pos_fdbk_run_2_ct,abcd_mid01
beh_mid_small_reward_pos_feedback_run_2_rate,bms_rwd_pos_fdbk_run_2_rate,abcd_mid01
beh_mid_small_reward_pos_feedback_run_2_mean_rt,bms_rwd_pos_fdbk_run_2_rt,abcd_mid01
beh_mid_small_reward_pos_feedback_run_2_std_rt,bms_rwd_pos_fdbk_run_2_rt_std,abcd_mid01
beh_mid_total_numtrials_run_1,bms_rwd_run_1_total,abcd_mid01
beh_mid_total_numtrials_run_2,bms_rwd_run_2_total,abcd_mid01
beh_nback_all_total_cor_rt,behnbackalltotalcorrt,abcd_mrinback01
